Project Name,user/repo,Function coverage %,# dependencies,# commit,last commit,default branch,entry file,Module system,readme,test reporting,git url
urdubiometerjs,urdubiometer/urdubiometerjs,100,696,23,2019-05-09,master,https://raw.githubusercontent.com/urdubiometer/urdubiometerjs/master/src/index.js,CommonJS,https://raw.githubusercontent.com/urdubiometer/urdubiometerjs/master/README.md,coveralls.io,https://github.com/urdubiometer/urdubiometerjs.git
generator-mboy-deploy,monkee-boy/generator-mboy-deploy,100,684,23,2016-09-12,master,https://raw.githubusercontent.com/monkee-boy/generator-mboy-deploy/master/app/index.js,CommonJS,https://raw.githubusercontent.com/monkee-boy/generator-mboy-deploy/master/README.md,coveralls.io,https://github.com/monkee-boy/generator-mboy-deploy.git
gemini-optipng,gemini-testing/gemini-optipng,100,292,23,2018-11-29,master,https://raw.githubusercontent.com/gemini-testing/gemini-optipng/master/lib/plugin.js,CommonJS,https://raw.githubusercontent.com/gemini-testing/gemini-optipng/master/README.md,coveralls.io,https://github.com/gemini-testing/gemini-optipng.git
gulp-watchify-browserify,simbo/gulp-watchify-browserify,100,318,21,2016-03-03,master,https://raw.githubusercontent.com/simbo/gulp-watchify-browserify/master/index.js,CommonJS,https://raw.githubusercontent.com/simbo/gulp-watchify-browserify/master/README.md,codecov.io,https://github.com/simbo/gulp-watchify-browserify.git
dynamizer,belbis/dynamizer,100,302,20,2015-02-15,master,https://raw.githubusercontent.com/belbis/dynamizer/master/index.js,CommonJS,https://raw.githubusercontent.com/belbis/dynamizer/master/README.md,coveralls.io,https://github.com/belbis/dynamizer.git
easywebpack-js,hubcarl/easywebpack-js,100,1091,16,2020-02-22,master,https://raw.githubusercontent.com/hubcarl/easywebpack-js/master/index.js,CommonJS,https://raw.githubusercontent.com/hubcarl/easywebpack-js/master/README.md,codecov.io,https://github.com/hubcarl/easywebpack-js.git
testarmada-magellan-seleniumgrid-executor,TestArmada/magellan-seleniumgrid-executor,100,309,12,2021-01-15,master,https://raw.githubusercontent.com/TestArmada/magellan-seleniumgrid-executor/master/index.js,CommonJS,https://raw.githubusercontent.com/TestArmada/magellan-seleniumgrid-executor/master/README.md,codecov.io,https://github.com/TestArmada/magellan-seleniumgrid-executor.git
res-react-asset-boilerplate,easy-team/res,100,542,9,2020-02-24,master,https://raw.githubusercontent.com/easy-team/res/master/index.js,CommonJS,https://raw.githubusercontent.com/easy-team/res/master/README.md,codecov.io,https://github.com/easy-team/res.git
alex-vscode,shinnn/alex-vscode,100,301,6,2018-11-29,master,https://raw.githubusercontent.com/shinnn/alex-vscode/master/index.js,CommonJS,https://raw.githubusercontent.com/shinnn/alex-vscode/master/README.md,coveralls.io,https://github.com/shinnn/alex-vscode.git
happner-tests,happner/happner-tests,100,291,1,2016-03-02,master,https://raw.githubusercontent.com/happner/happner-tests/master/index.js,CommonJS,https://raw.githubusercontent.com/happner/happner-tests/master/README.md,coveralls.io,https://github.com/happner/happner-tests.git
roe-scripts,kaelzhang/roe-scripts,99.24,810,242,2019-09-22,master,https://raw.githubusercontent.com/kaelzhang/roe-scripts/master/src/index.js,CommonJS,https://raw.githubusercontent.com/kaelzhang/roe-scripts/master/README.md,codecov.io,https://github.com/kaelzhang/roe-scripts.git
mu-jquery-app>11.0.0>mu-jquery-widget>standard-version,conventional-changelog/standard-version,98.13,290,333,2022-05-15,master,https://raw.githubusercontent.com/conventional-changelog/standard-version/master/index.js,CommonJS,https://raw.githubusercontent.com/conventional-changelog/standard-version/master/README.md,codecov.io,https://github.com/conventional-changelog/standard-version.git
promise-mix,Onheiron/promise-mix,97.7,458,132,2019-01-07,master,https://raw.githubusercontent.com/Onheiron/promise-mix/master/index.js,CommonJS,https://raw.githubusercontent.com/Onheiron/promise-mix/master/readme.md,coveralls.io,https://github.com/Onheiron/promise-mix.git
twilio-cli,twilio/twilio-cli,97.68,313,796,2023-06-01,main,https://raw.githubusercontent.com/twilio/twilio-cli/main/src/index.js,CommonJS,https://raw.githubusercontent.com/twilio/twilio-cli/main/README.md,codecov.io,https://github.com/twilio/twilio-cli.git
connect-phonegap,phonegap/connect-phonegap,96.76,353,565,2019-08-08,master,https://raw.githubusercontent.com/phonegap/connect-phonegap/master/lib/index.js,CommonJS,https://raw.githubusercontent.com/phonegap/connect-phonegap/master/README.md,codecov.io,https://github.com/phonegap/connect-phonegap.git
rosid-handler-components,comwrap/rosid-handler-components,96.47,334,648,2022-01-08,master,https://raw.githubusercontent.com/comwrap/rosid-handler-components/master/src/index.js,CommonJS,https://raw.githubusercontent.com/comwrap/rosid-handler-components/master/README.md,coveralls.io,https://github.com/comwrap/rosid-handler-components.git
remarker,kt3k/remarker,94.44,364,153,2023-04-25,main,https://raw.githubusercontent.com/kt3k/remarker/main/index.js,NodeJS,https://raw.githubusercontent.com/kt3k/remarker/main/README.md,codecov.io,https://github.com/kt3k/remarker.git
vigour-observable,vigour-io/observable,93.82,496,357,2016-10-24,master,https://raw.githubusercontent.com/vigour-io/observable/master/lib/index.js,CommonJS,https://raw.githubusercontent.com/vigour-io/observable/master/README.md,coveralls.io,https://github.com/vigour-io/observable.git
iamtest,amokrushin/iamtest,92.3,657,73,2018-03-30,master,https://raw.githubusercontent.com/amokrushin/iamtest/master/index.js,CommonJS,https://raw.githubusercontent.com/amokrushin/iamtest/master/README.md,codecov.io,https://github.com/amokrushin/iamtest.git
david,alanshaw/david,91.52,491,317,2021-06-10,master,https://raw.githubusercontent.com/alanshaw/david/master/lib/david.js,CommonJS,https://raw.githubusercontent.com/alanshaw/david/master/README.md,coveralls.io,https://github.com/alanshaw/david.git
mathoid,wikimedia/mathoid,91.02,334,2359,2023-05-04,master,https://raw.githubusercontent.com/wikimedia/mathoid/master/app.js,CommonJS,https://raw.githubusercontent.com/wikimedia/mathoid/master/README.md,coveralls.io,https://github.com/wikimedia/mathoid.git
am-node-tape-runner,amokrushin/am-node-tape-runner,90.76,321,73,2018-03-30,master,https://raw.githubusercontent.com/amokrushin/am-node-tape-runner/master/index.js,CommonJS,https://raw.githubusercontent.com/amokrushin/am-node-tape-runner/master/README.md,codecov.io,https://github.com/amokrushin/am-node-tape-runner.git
tagd,uncledu/tagd,90.32,341,14,2016-12-06,master,https://raw.githubusercontent.com/uncledu/tagd/master/lib/index.js,CommonJS,https://raw.githubusercontent.com/uncledu/tagd/master/README.md,coveralls.io,https://github.com/uncledu/tagd.git
images-to-variables,Brightspace/images-to-variables,90,362,55,2022-06-29,master,https://raw.githubusercontent.com/Brightspace/images-to-variables/master/lib/index.js,CommonJS,https://raw.githubusercontent.com/Brightspace/images-to-variables/master/README.md,coveralls.io,https://github.com/Brightspace/images-to-variables.git
generator-tman,FrendEr/generator-tman,89.47,679,30,2016-03-08,master,https://raw.githubusercontent.com/FrendEr/generator-tman/master/generators/app/index.js,CommonJS,https://raw.githubusercontent.com/FrendEr/generator-tman/master/README.md,codecov.io,https://github.com/FrendEr/generator-tman.git
generator-es2015,dominikschreiber/generator-es2015,89.47,568,30,2015-06-16,master,https://raw.githubusercontent.com/dominikschreiber/generator-es2015/master/generators/app/index.js,CommonJS,https://raw.githubusercontent.com/dominikschreiber/generator-es2015/master/README.md,coveralls.io,https://github.com/dominikschreiber/generator-es2015.git
reduce-css,reducejs/reduce-css,88.46,360,91,2016-06-12,master,https://raw.githubusercontent.com/reducejs/reduce-css/master/index.js,CommonJS,https://raw.githubusercontent.com/reducejs/reduce-css/master/README.md,coveralls.io,https://github.com/reducejs/reduce-css.git
generator-backbone,yeoman/generator-backbone,88,402,465,2016-03-26,master,https://raw.githubusercontent.com/yeoman/generator-backbone/master/generators/app/index.js,CommonJS,https://raw.githubusercontent.com/yeoman/generator-backbone/master/readme.md,coveralls.io,https://github.com/yeoman/generator-backbone.git
lastcall-gulp-drupal-tasks,LastCallMedia/gulp-drupal-tasks,87.5,373,253,2022-12-08,master,https://raw.githubusercontent.com/LastCallMedia/gulp-drupal-tasks/master/index.js,CommonJS,https://raw.githubusercontent.com/LastCallMedia/gulp-drupal-tasks/master/README.md,codecov.io,https://github.com/LastCallMedia/gulp-drupal-tasks.git
bionode-bwa,bionode/bionode-bwa,87.5,311,37,2017-06-01,master,https://raw.githubusercontent.com/bionode/bionode-bwa/master/index.js,CommonJS,https://raw.githubusercontent.com/bionode/bionode-bwa/master/README.md,coveralls.io,https://github.com/bionode/bionode-bwa.git
generator-at-angular,A-Tokyo/generator-at-angular,87.41,696,662,2017-03-07,master,https://raw.githubusercontent.com/A-Tokyo/generator-at-angular/master/generators/app/index.js,CommonJS,https://raw.githubusercontent.com/A-Tokyo/generator-at-angular/master/README.md,coveralls.io,https://github.com/A-Tokyo/generator-at-angular.git
seespee,papandreou/seespee,86.95,369,273,2022-08-22,master,https://raw.githubusercontent.com/papandreou/seespee/master/lib/seespee.js,CommonJS,https://raw.githubusercontent.com/papandreou/seespee/master/README.md,coveralls.io,https://github.com/papandreou/seespee.git
mining-utils,Oracy/mining-utils,86.11,313,118,2021-01-20,master,https://raw.githubusercontent.com/Oracy/mining-utils/master/index.js,CommonJS,https://raw.githubusercontent.com/Oracy/mining-utils/master/README.md,coveralls.io,https://github.com/Oracy/mining-utils.git
svgo-compress-image,spidercpsf/svgo,86.08,335,808,2017-03-20,master,https://raw.githubusercontent.com/spidercpsf/svgo/master/lib/svgo.js,CommonJS,https://raw.githubusercontent.com/spidercpsf/svgo/master/README.md,coveralls.io,https://github.com/spidercpsf/svgo.git
brisky-events,vigour-io/brisky-events,85.71,497,116,2016-10-26,master,https://raw.githubusercontent.com/vigour-io/brisky-events/master/lib/index.js,CommonJS,https://raw.githubusercontent.com/vigour-io/brisky-events/master/README.md,coveralls.io,https://github.com/vigour-io/brisky-events.git
kuzzle-plugin-mqtt,kuzzleio/kuzzle-plugin-mqtt,85.71,303,47,2018-02-20,master,https://raw.githubusercontent.com/kuzzleio/kuzzle-plugin-mqtt/master/lib/index.js,CommonJS,https://raw.githubusercontent.com/kuzzleio/kuzzle-plugin-mqtt/master/README.md,codecov.io,https://github.com/kuzzleio/kuzzle-plugin-mqtt.git
open-telecom,fauxsoup/otp-js,85.71,299,44,2022-03-30,master,https://raw.githubusercontent.com/fauxsoup/otp-js/master/index.js,CommonJS,https://raw.githubusercontent.com/fauxsoup/otp-js/master/README.md,coveralls.io,https://github.com/fauxsoup/otp-js.git
aliv,ericmdantas/aliv,84.21,309,241,2021-03-18,master,https://raw.githubusercontent.com/ericmdantas/aliv/master/lib/index.js,CommonJS,https://raw.githubusercontent.com/ericmdantas/aliv/master/README.md,coveralls.io,https://github.com/ericmdantas/aliv.git
generator-cartridge-lib-module,pikamachu/pika-generator-cartridge-lib-module,83.33,695,25,2020-08-10,master,https://raw.githubusercontent.com/pikamachu/pika-generator-cartridge-lib-module/master/app/index.js,CommonJS,https://raw.githubusercontent.com/pikamachu/pika-generator-cartridge-lib-module/master/README.md,codecov.io,https://github.com/pikamachu/pika-generator-cartridge-lib-module.git
generator-jhipster-primeng,sudheerj/generator-jhipster-primeng,82.14,636,388,2020-12-29,master,https://raw.githubusercontent.com/sudheerj/generator-jhipster-primeng/master/generators/app/index.js,CommonJS,https://raw.githubusercontent.com/sudheerj/generator-jhipster-primeng/master/README.md,coveralls.io,https://github.com/sudheerj/generator-jhipster-primeng.git
elephas,bigdatr/elephas,81.81,429,206,2017-10-03,master,https://raw.githubusercontent.com/bigdatr/elephas/master/elephas.js,CommonJS,https://raw.githubusercontent.com/bigdatr/elephas/master/README.md,coveralls.io,https://github.com/bigdatr/elephas.git
srv-cli,alfg/srv,81.25,482,124,2020-07-13,master,https://raw.githubusercontent.com/alfg/srv/master/index.js,CommonJS,https://raw.githubusercontent.com/alfg/srv/master/README.md,coveralls.io,https://github.com/alfg/srv.git
generator-fullstack-backbone,pusongyang/generator-fullstack-backbone,80.95,402,48,2016-08-17,master,https://raw.githubusercontent.com/pusongyang/generator-fullstack-backbone/master/generators/app/index.js,CommonJS,https://raw.githubusercontent.com/pusongyang/generator-fullstack-backbone/master/readme.md,coveralls.io,https://github.com/pusongyang/generator-fullstack-backbone.git
fakerdb,sius/fakerdb,80,323,127,2023-01-16,master,https://raw.githubusercontent.com/sius/fakerdb/master/index.js,CommonJS,https://raw.githubusercontent.com/sius/fakerdb/master/README.md,codecov.io,https://github.com/sius/fakerdb.git
qa-control-server,codenautas/qa-control-server,77.77,477,330,2019-11-08,master,https://raw.githubusercontent.com/codenautas/qa-control-server/master/app/qa-control-server.js,CommonJS,https://raw.githubusercontent.com/codenautas/qa-control-server/master/README.md,coveralls.io,https://github.com/codenautas/qa-control-server.git
airtap,airtap/airtap,75,392,905,2023-04-28,master,https://raw.githubusercontent.com/airtap/airtap/master/lib/airtap.js,CommonJS,https://raw.githubusercontent.com/airtap/airtap/master/README.md,coveralls.io,https://github.com/airtap/airtap.git
express-vue,express-vue/express-vue,75,686,652,2021-08-18,master,https://raw.githubusercontent.com/express-vue/express-vue/master/lib/index.js,CommonJS,https://raw.githubusercontent.com/express-vue/express-vue/master/README.md,coveralls.io,https://github.com/express-vue/express-vue.git
webpack-dev-server-fork,shadowwzw/webpack-dev-server-fork,75,290,549,2017-03-29,master,https://raw.githubusercontent.com/shadowwzw/webpack-dev-server-fork/master/lib/Server.js,CommonJS,https://raw.githubusercontent.com/shadowwzw/webpack-dev-server-fork/master/README.md,codecov.io,https://github.com/shadowwzw/webpack-dev-server-fork.git
lad,ladjs/lad,75,427,343,2022-04-27,master,https://raw.githubusercontent.com/ladjs/lad/master/sao.js,CommonJS,https://raw.githubusercontent.com/ladjs/lad/master/README.md,codecov.io,https://github.com/ladjs/lad.git
swagger2aglio,psastras/swagger2aglio,75,418,28,2017-03-15,master,https://raw.githubusercontent.com/psastras/swagger2aglio/master/index.js,NodeJS,https://raw.githubusercontent.com/psastras/swagger2aglio/master/README.md,coveralls.io,https://github.com/psastras/swagger2aglio.git
generator-yag-git,alefteris/generator-yag-git,75,677,7,2016-10-02,master,https://raw.githubusercontent.com/alefteris/generator-yag-git/master/app/index.js,CommonJS,https://raw.githubusercontent.com/alefteris/generator-yag-git/master/README.md,coveralls.io,https://github.com/alefteris/generator-yag-git.git
generator-node-lib,aliaksandr-pasynkau/generator-node-lib,73.07,414,48,2015-06-29,master,https://raw.githubusercontent.com/aliaksandr-pasynkau/generator-node-lib/master/app/index.js,CommonJS,https://raw.githubusercontent.com/aliaksandr-pasynkau/generator-node-lib/master/README.md,coveralls.io,https://github.com/aliaksandr-pasynkau/generator-node-lib.git
generator-new-node-module,nicomf1982/generator-new-node-module,72.2,751,7,2017-01-10,master,https://raw.githubusercontent.com/nicomf1982/generator-new-node-module/master/app/index.js,CommonJS,https://raw.githubusercontent.com/nicomf1982/generator-new-node-module/master/README.md,coveralls.io,https://github.com/nicomf1982/generator-new-node-module.git